jimbob@gmail.com,Jimothy Bobson,password
bobjim@gmail.com,Bobothy Jimson,a_significantly_better_password
biglez@gmail.com,Big Lez,saseeeee
xX_eric_cartman_Xx@gmail.com,Eric Cartman,0hmyg0dth3yk!113dk3nny
farquaad@gmail.com,Lord Farquaad,getouttamyswamp
amogus@gmail.com,Amogus Susson,5U55Y_84K45_4_LYF3
ur_da@gmail.com,Your Father,iSellAvon
scott_tenorman@gmail.com,Scott Tenorman,I_AteMy_Parents
totally_not_a_meth_dealer@gmail.com,Walter White,r00f!p1zz4
xXsupreme_edgelordXx@gmail.com,The King of Edge,not_funny_if_older_than_seven
sasee@gmail.com,Sassy the Sasquatch,utalkintome?
